Term,ICD_clean
"398958000: Chondrodysplasia punctata, X-linked dominant type",Q77.3
56692003: Rhizomelic chondrodysplasia punctata syndrome,Q77.3
17818006: Leri-Weill dyschondrosteosis,Q77.4
205468002: Hypochondroplasia,Q77.4
772086000: Disproportionate short stature,Q77.4
86268005: Achondroplasia,Q77.4
59708000: Multiple epiphyseal dysplasia,Q77.7
105986008: Skeletal dysplasia,Q77.9
4127: Osteogenesis imperfecta,Q78.0
78314001: Osteogenesis imperfecta,Q78.0
1926006: Osteopetrosis,Q78.2
385483009: Osteogenesis imperfecta type III,Q78.2
82663009: Osteopathia striata,Q78.2
66758006: Acrodysostosis,Q78.5
254080004: Epiphyseal dysplasia,Q78.8
4136: Bone morphogenic protein receptor Type II mutation,Q78.8
9273005: Juvenile polyposis syndrome,Q78.8
0180: Pentalogy of Cantrell,Q79.0
17190001: Congenital diaphragmatic hernia,Q79.0
233745009: Defect of diaphragm,Q79.0
281587000: Pentalogy of Cantrell,Q79.0
34168003: Diaphragmatic eventration,Q79.1
18735004: Congenital omphalocele,Q79.2
30502000: Repair of omphalocele,Q79.2
4284: Congenital central hypoventilation syndrome (Ondine curse),Q79.2
4404: Omphalocele,Q79.2
4853: VACTERL-H syndrome (VATER association with hydrocephalus) (Briard-Evans syndrome),Q79.2
4414: Gastroschisis,Q79.3
48763007: Congenital hernia of foramen of Morgagni,Q79.3
72951007: Gastroschisis,Q79.3
4441: Prune belly syndrome,Q79.4
5187006: Prune belly syndrome,Q79.4
"25606004: Ehlers-Danlos syndrome, hydroxylysine-deficient",Q79.6
"30652003: Ehlers-Danlos syndrome, type 3",Q79.6
398114001: Ehlers-Danlos syndrome,Q79.6
4039: Ehlers-Danlos syndrome,Q79.6
720860004: Ehlers-Danlos syndrome musculocontractural type,Q79.6
"83470009: Ehlers-Danlos syndrome, type 1",Q79.6
440214006: Deformity due to amniotic band,Q79.89
312514006: Netherton's syndrome,Q80.8
67144006: Epidermolysis bullosa simplex,Q81.0
314512009: Hemangioma of eyelid,Q82.0
402809007: Congenital malformation of cutaneous lymphatics,Q82.0
398696001: Congenital pigmented melanocytic nevus,Q82.1
63844009: Oculocutaneous albinism,Q82.3
8654005: Ectodermal dysplasia,Q82.4
234118009: Capillary malformation,Q82.5
416377005: Port-wine stain of skin,Q82.5
51089004: Birthmark,Q82.5
56975005: Strawberry nevus of skin,Q82.5
683261000119102: Congenital pigmented melanocytic nevus of skin of scalp,Q82.5
201281002: Caf?� au lait spots,Q82.5
311897005: Sacral dimple,Q82.8
4037: Multiple lentingines syndrome (formerly LEOPARD syndrome),Q82.8
4137: Sacral dimple,Q82.8
74911008: Dyskeratosis congenita,Q82.8
9311003: Hermansky-Pudlak syndrome,Q82.8
281561000: Sacrococcygeal teratoma,Q82.9
35484002: Aplasia cutis congenita,Q84.1
276730002: Dermoid cyst of brain,Q85.0
92503002: Neurofibromatosis type 2,Q85.0
19133005: Neurofibromatosis syndrome,Q85.00
4016: Neurofibromatosis,Q85.00
403817006: Multiple neurofibromas in neurofibromatosis,Q85.00
81669005: Neurofibromatosis,Q85.00
92824003: Neurofibromatosis type 1,Q85.00
"92824003: Neurofibromatosis, type 1",Q85.00
4320: Tuberous sclerosis,Q85.1
7199000: Tuberous sclerosis syndrome,Q85.1
19886006: Sturge-Weber syndrome,Q85.8
46659004: Von Hippel-Lindau syndrome,Q85.8
15890002: Albinism,Q86
205788004: Fetal alcohol syndrome,Q86.0
4047: Fetal alcohol syndrome,Q86.0
609437000: Fetal Alcohol Spectrum Disorder,Q86.0
3371: Family history of birth defects,Q86.9
103031000119101: Fetal exposure to teratogenic substance,Q86.9
439143004: Simpson-Golabi-Behmel syndrome,Q87
48796009: Congenital nephrotic syndrome,Q87
112630007: Abnormal facies,Q87.0
205258009: Acrocephalosyndactyly type I,Q87.0
205418005: Goldenhar syndrome,Q87.0
254025006: Hemifacial microsomia,Q87.0
268262006: Acrocephalosyndactyly,Q87.0
3073006: Ruvalcaba syndrome,Q87.0
313426007: Kabuki make-up syndrome,Q87.0
32985001: Greig cephalopolysyndactyly syndrome,Q87.0
3639002: Glossoptosis,Q87.0
"3812: Malformation syndrome, absent",Q87.0
4021: Pierre Robin syndrome,Q87.0
440350001: Muenke syndrome,Q87.0
45582004: Rubinstein-Taybi syndrome,Q87.0
4602007: Robin sequence,Q87.0
4609: Velocardiofacial syndrome,Q87.0
"47535005: Coloboma, heart malformation, choanal atresia, retardation of growth and development, genital abnormalities, and ear malformations association",Q87.0
51409009: Asymmetric crying face association,Q87.0
52616002: Freeman-Sheldon syndrome,Q87.0
61367005: Jarcho-Levin syndrome,Q87.0
719069008: Shprintzen Goldberg craniosynostosis syndrome,Q87.0
720511000: Arrhinia with choanal atresia and microphthalmia syndrome,Q87.0
79833006: Blepharophimosis syndrome,Q87.0
248200007: Dysmorphic facies,Q87.0
409033001: Altered growth and development,Q87.0
4026: Goldenhar syndrome,Q87.0
723461007: Pierre Robin sequence faciodigital anomaly syndrome,Q87.0
78675000: Stickler syndrome,Q87.0
"774068004: AHDC1-related intellectual disability, obstructive sleep apnea, mild dysmorphism syndrome",Q87.00
69408002: Gorlin syndrome,Q87.030
205824006: Noonan's syndrome,Q87.1
21086008: Cockayne syndrome,Q87.1
2298005: Goltz syndrome,Q87.1
239087008: Cantu's syndrome,Q87.1
254097005: Stuve-Wiedemann dysplasia,Q87.1
29145002: Schwartz-Jampel syndrome,Q87.1
4020: Cornelia de Lange syndrome,Q87.1
4030: Noonan syndrome,Q87.1
4032: CHARGE syndrome,Q87.1
40354009: De Lange syndrome,Q87.1
4035: Smith-Lemli-Opitz syndrome,Q87.1
4036: Dysmorphic features,Q87.1
403770008: Cardio-facio-cutaneous syndrome,Q87.1
4037: Noonan syndrome with multiple lentingines (formerly LEOPARD syndrome),Q87.1
4440: Prader-Willi syndrome,Q87.1
4854: 22Q11.2 microdeletion syndrome,Q87.1
59178007: Menkes kinky-hair syndrome,Q87.1
62964007: Antley-Bixler syndrome,Q87.1
63247009: Williams syndrome,Q87.1
69463008: Maroteaux-Lamy syndrome,Q87.1
703535000: Mowat-Wilson syndrome,Q87.1
724207001: Kleefstra syndrome,Q87.1
770680004: Prader-Willi-like syndrome,Q87.1
83015004: Saethre-Chotzen syndrome,Q87.1
8793: Simpson-Golabi-Behmel syndorme,Q87.1
89392001: Prader-Willi syndrome,Q87.1
"254082007: Chondrodysplasia punctata, X-linked recessive type",Q87.1
271611007: Small head,Q87.1
719136005: X-linked intellectual disability with cerebellar hypoplasia syndrome,Q87.1
10007009: Coffin-Siris syndrome,Q87.19
234138005: Bannayan syndrome,Q87.19
309776008: Costello syndrome,Q87.19
720565000: Bohring Opitz syndrome,Q87.19
89454001: Shwachman syndrome,Q87.19
19092004: Holt-Oram syndrome,Q87.2
205373007: Congenital overgrowth of whole lower limb,Q87.2
27742002: VATER association,Q87.2
4044: VATERS/VACTERLS syndrome,Q87.2
4105: Holt-Oram syndrome,Q87.2
47434006: Waardenburg's syndrome,Q87.2
0100: Situs inversus totalis,Q87.2
4028: Rubinstein-Taybi syndrome,Q87.20
15069006: Russell-Silver syndrome,Q87.3
4027: Beckwith-Wiedemann syndrome,Q87.3
48637007: Multiple malformation syndrome with early overgrowth,Q87.3
63387002: Larsen syndrome,Q87.3
75968004: Sotos' syndrome,Q87.3
"782722002: Global developmental delay, lung cysts, overgrowth, Wilms tumor syndrome",Q87.3
81780002: Beckwith-Wiedemann syndrome,Q87.3
38206000: Exceptionally large at birth,Q87.3
3961000119101: Relative macrocephaly,Q87.4
4099: Loeys Dietz syndrome,Q87.4
4106: Marfan syndrome,Q87.4
446263001: Loeys-Dietz syndrome,Q87.4
83092002: Shprintzen syndrome,Q87.4
19346006: Marfan's syndrome,Q87.40
230312006: Aicardi Goutieres syndrome,Q87.8
290006: Melnick-Fraser syndrome,Q87.8
4038: Malformation syndrome,Q87.8
4850: Kabuki syndrome,Q87.8
62985007: Hereditary insensitivity to pain with anhidrosis,Q87.8
702410002: Baraitser-Winter syndrome,Q87.8
719475006: CLOVE syndrome,Q87.8
722859001: PTEN hamartoma tumor syndrome,Q87.8
80773006: Escobar syndrome,Q87.8
"1169355000: Brain malformations, musculoskeletal abnormalities, facial dysmorphism, intellectual disability syndrome",Q87.8
4018: Cardiofaciocutaneous (CFC) syndrome,Q87.8
458432002: Arterial tortuosity syndrome,Q87.81
"698765007: Posterior fossa brain malformation, hemangioma, arterial anomaly, cardiac defect and aortic coarctation, and eye abnormality syndrome",Q87.81
240080003: Benign congenital hypotonia,Q87.89
400038003: Congenital malformation syndrome,Q87.89
4049: Multiple congenital anomalies,Q87.89
"431395004: Vertebral abnormalities, anal atresia, cardiac abnormalities, tracheo-esophageal fistula, renal anomalies, limb defects syndrome",Q87.89
5619004: Bardet-Biedl syndrome,Q87.89
"698766008: Posterior fossa brain malformation, haemaniogma, arterial anomaly, cardiac defect and aortic coarctation, eye abnormality synodrome and sternal anomaly syndrome",Q87.89
444406006: Multiple congenital anomalies,Q87.9
0191: Asplenia syndrome,Q89.0
6537000: Ectopic pituitary tissue,Q89.0
85090007: Dextrocardia/situs inversus finding,Q89.0
14821001: Situs ambiguus,Q89.2
3198: Sacrococcygeal teratoma,Q89.2
39462005: Thyroglossal duct cyst,Q89.2
0170: Ectopia cordis,Q89.3
3817: Abdominal situs ambiguous (abdominal heterotaxy),Q89.3
720605009: Cardiac anomaly and heterotaxy syndrome,Q89.3
8641000119101: Polysplenia heterotaxy syndrome,Q89.3
3816: Abdominal situs inversus,Q89.3
7451: Situs inversus (ECG),Q89.3
0190: Heterotaxy syndrome,Q89.4
4772: Anatomic or functional polysplenia,Q89.4
0192: Polysplenia syndrome,Q89.8
233646003: Congenital chylothorax,Q89.8
"3799: Non-cardiac congenital anatomic abnormality, malformation, or anomaly",Q89.9
3819: Congenital anomaly,Q89.9
4000: Whole body congenital problem,Q89.9
276654001: Congenital malformation,Q89.9
74345006: Congenital chromosomal disease,Q90
125501000119105: Fetus with complete trisomy 21 syndrome,Q90.0
41040004: Complete trisomy 21 syndrome,Q90.0
254264002: Partial trisomy 21 in Down's syndrome,Q90.11
205624009: Trisomy 18 - mitotic nondisjunction mosaicism,Q90.3
"4001: Chromosomal abnormality, Downs, trisomy 21",Q90.9
737542000: Trisomy 21,Q90.9
"4002: Chromosomal abnormality, trisomy 18",Q91.1
51500006: Complete trisomy 18 syndrome,Q91.1
205623003: Trisomy 18 - meiotic nondisjunction,Q91.2
21111006: Complete trisomy 13 syndrome,Q91.3
254266000: Partial trisomy 18 in Edward's syndrome,Q91.3
"4003: Chromosomal abnormality, trisomy 13",Q91.3
77269002: Complete trisomy 16 syndrome,Q91.4
"10177005: Triploidy, diploidy, mixoploidy syndrome",Q91.7
205620000: Trisomy 13 - mitotic nondisjunction mosaicism,Q91.7
125511000119108: Fetus with complete trisomy 18 syndrome,Q91.8
74350000: Complete trisomy 9 syndrome,Q92.0
205650008: Trisomy 9,Q92.1
66985009: 18q partial trisomy syndrome,Q92.1
7586009: 14q partial trisomy syndrome,Q92.1
228050004: 21q partial trisomy syndrome,Q92.1
205647005: Trisomy 6,Q92.2
2893009: Anomaly of chromosome pair 10,Q92.2
5051002: Anomaly of chromosome pair 9,Q92.2
53392002: Anomaly of chromosome pair 16,Q92.2
764989007: Mosaic trisomy 9 syndrome,Q92.2
429442006: Autosomal duplication,Q92.3
66651005: Triploidy syndrome,Q92.3
764621006: Mosaic trisomy 16 syndrome,Q92.3
77497005: 3p partial trisomy syndrome,Q92.3
548004: 13p partial trisomy syndrome,Q92.32
88326002: 16p partial trisomy syndrome,Q92.39
205728002: Duplication of chromosome,Q92.4
57361003: Anomaly of chromosome pair 5,Q92.4
74008005: 5p partial trisomy syndrome,Q92.4
371045000: Translocation Down syndrome,Q92.5
"4844: Chromosomal abnormality, trisomy 9",Q92.7
"8767: Chromosome abnormality, Known Mosaicism",Q92.8
471282000: Chromosome microdeletion,Q92.8
205615000: Trisomy 21- meiotic nondisjunction,Q92.9
32299009: Anomaly of chromosome pair 2,Q92.9
444858009: Unbalanced translocation of chromosome,Q92.9
4199009: 18p partial trisomy syndrome,Q93.0
254274004: Deletion of part of autosome,Q93.1
4242009: 18q partial monosomy syndrome,Q93.2
"4832: Chromosomal abnormality, 4p- (4p16.3, Wolff-Hirschhorn Syndrome)",Q93.3
"4834: Chromosomal abnormality, 5p",Q93.3
718226002: Wolf Hirschhorn syndrome,Q93.3
48812004: 17q partial trisomy syndrome,Q93.33
"4012: Chromosomal abnormality, cri-du-chat",Q93.4
42712003: Cri du chat,Q93.4
"4831: Chromosomal abnormality, 3p22",Q93.4
699310000: 22q13.3 deletion syndrome,Q93.41
699254009: 15q13.3 microdeletion,Q93.42
19419002: 8p partial monosomy syndrome,Q93.49
205655003: Trisomy 22,Q93.49
4325000: 11q partial monosomy syndrome,Q93.49
"8762: Chromosome abnormality, 7q11.23 del",Q93.49
26445008: Cat eye syndrome,Q93.5
76880004: Angelman syndrome,Q93.5
16569009: Anomaly of chromosome pair 15,Q93.6
"8766: Chromosome abnormality, 8p23.1 dup",Q93.7
719427001: 15q11q13 microduplication syndrome,Q93.72
74183001: Partial tetrasomy 9 syndrome,Q93.8
401315004: Smith-Magenis syndrome,Q93.81
"4014: Chromosomal abnormality, 22q11 deletion",Q93.81
4031: Williams syndrome,Q93.81
449818005: 22q11 partial monosomy syndrome,Q93.81
460436001: 22q11 microdeletion with complete DiGeorge sequence,Q93.81
4610: DiGeorge syndrome,Q93.81
"4823: Chromosomal abnormality, 11q  terminal deletion (Jacobsen Syndrome)",Q93.81
"4836: Chromosomal abnormality, 7q11",Q93.81
4848: Deletion 8p syndrome,Q93.81
62599000: 9p partial monosomy syndrome,Q93.81
699311001: 22q11.2 duplication,Q93.81
767263007: 22q11.2 deletion syndrome,Q93.81
77128003: DiGeorge sequence,Q93.81
699307007: Chromosome 16p11.2 deletion syndrome,Q93.82
70173007: 5p partial monosomy syndrome,Q93.82
723332005: Isodicentric chromosome 15 syndrome,Q93.82
"8755: Chromosome abnormality, 1q21.1 del",Q93.82
4849: Jacobsen syndrome,Q93.89
"8764: Chromosome abnormality, 8p23.1 del",Q93.89
38804009: Turner syndrome,Q96.0
"4004: Chromosomal abnormality, Turner syndrome, X0",Q96.0
"4841: Chromosomal abnormality, monosomy X",Q96.0
710010005: Mosaic Turner syndrome,Q96.0
254268004: Partial trisomy 13 in Patau's syndrome,Q96.3
205706002: Sex chromosome mosaicism,Q97.1
205616004: Trisomy 21- mitotic nondisjunction mosaicism,Q97.2
22053006: Klinefelter syndrome,Q98.0
268300003: Klinefelter's syndrome,Q98.0
35111009: Trisomy X syndrome,Q98.0
"4005: Chromosomal abnormality, Klinefelters XXY",Q98.0
"405769009: Klinefelter's syndrome, XXY",Q98.0
111312006: Anomaly of chromosome X,Q98.5
50749006: Double Y syndrome,Q98.6
"4007: Chromosomal abnormality, XYY",Q98.8
199738000: Abnormal chromosomal and genetic finding on antenatal screening of mother,Q99.0
613003: Fragile X syndrome,Q99.2
9839007: Anomaly of chromosome pair 20,Q99.2
37367006: Anomaly of chromosome pair 7,Q99.7
55446002: Genetic mutation,Q99.8
290028006: Genetic syndrome,Q99.9
409709004: Chromosomal disorder,Q99.9
4013: Chromosomal abnormality or finding,Q99.9
4858: Gene mutation,Q99.9
"4821: Chromosome abnormality, none",Q99.9
11092001: Sinus tachycardia,R00.0
3424008: Tachycardia,R00.0
3426: Palpitations,R00.0
7012: Sinus tachycardia,R00.0
3405: Bradycardia,R00.1
44602002: Persistent sinus bradycardia,R00.1
49044005: Severe sinus bradycardia,R00.1
49710005: Sinus bradycardia,R00.1
7013: Sinus bradycardia,R00.1
48867003: Bradycardia,R00.1
80313002: Palpitations,R00.2
7011: Sinus arrhythmia,R00.8
414786004: Murmur,R01.0
12441001: Epistaxis,R04.0
249351007: Blood in nasal cavity,R04.0
249366005: Bleeding from nose,R04.0
4889: Epistaxis (nose bleed),R04.0
232354002: Anterior epistaxis,R04.0
3409: Hemoptysis,R04.2
66857006: Hemoptysis,R04.2
78104003: Regurgitation,R04.2
78144005: Pulmonary hemorrhage,R04.2
11833005: Dry cough,R05
263731006: Coughing,R05
28743005: Productive cough,R05
4193: Cough,R05
161922009: No cough,R05
123818007: Cough impulse impaired,R05.1
424580008: Post-tussive vomiting,R05.1
68154008: Chronic cough,R05.1
161941007: Dyspnea at rest,R06.0
248549001: Labored breathing,R06.0
3437: Dyspnea (shortness of breath),R06.0
23141003: Gasping for breath,R06.00
267036007: Dyspnea,R06.00
20573003: Ineffective breathing pattern,R06.02
3448: Dyspnea at rest,R06.02
60845006: Dyspnea on exertion,R06.09
7965: Decreased exercise tolerance,R06.09
3449: Dyspnea with exercise,R06.09
702546009: Requires oxygen therapy during exercise,R06.09
281003006: Choking attacks,R06.1
306959001: Paradoxical movement of vocal cord on respiration,R06.1
4292: Stridor,R06.1
58596002: Inspiratory stridor,R06.1
70407001: Stridor,R06.1
272040008: Wheezing symptom,R06.2
4920: Orthopnea,R06.2
56018004: Wheezing,R06.2
248548009: Nocturnal dyspnea,R06.3
309155007: Cheyne-Stokes respiration,R06.3
85617008: Abnormal respiratory rhythm,R06.3
62085005: Grunting respiration,R06.3
61031008: Hypocapnia,R06.4
68978004: Hyperventilation,R06.4
3393: Breath holding spells,R06.5
162375000: Snoring symptoms,R06.5
76067001: Sneezing,R06.7
77329001: Mouth breathing,R06.7
248573009: Noisy respiration,R06.7
371736008: At risk for aspiration,R06.7
25423001: Sighing respiration,R06.8
271824009: Respiration intermittent,R06.8
713013008: Breath holding spell,R06.8
"8731: Hypoventilation (Hypopnea, slow or shallow breathing)",R06.8
386614005: Slow shallow breathing,R06.81
7954: Exercise induced bronchospasm,R06.81
248585001: Irregular breathing,R06.82
271823003: Tachypnea,R06.82
4923: Tachypnea,R06.82
86684002: Slow respiration,R06.82
1023001: Apnea,R06.83
72863001: Snoring,R06.83
15993004: Alveolar hypoventilation,R06.89
230145002: Difficulty breathing,R06.89
7968: Excessive ventilatory response to exercise,R06.89
80954004: Decreased respiratory function,R06.89
"8744: Hypercarbia (hypercapnia, hypercapnea)",R06.89
162397003: Pain in throat,R07.0
7964: Exercise induced chest pain,R07.2
23924001: Tight chest,R07.4
102588006: Chest wall pain,R07.89
274668005: Non-cardiac chest pain,R07.89
161920001: Respiratory symptom,R07.9
29857009: Chest pain,R07.9
3410: Chest pain,R07.9
279084009: Chest discomfort,R07.9
2973: Pulmonary blood flow asymmetric,R09.02
389086002: Hypoxia,R09.02
389087006: Hypoxemia,R09.02
449171008: Oxygen saturation below reference range,R09.02
4260: Pleural effusion,R09.1
102581000: Excessive bronchial secretion,R09.3
248599002: Copious sputum,R09.3
274708000: Abnormal sputum,R09.3
248589007: Clearing throat - hawking,R09.81
267100006: Nasal obstruction present,R09.81
373909009: Choking sensation,R09.89
67750007: Ineffective airway clearance,R09.89
116290004: Acute abdominal pain,R10.0
301717006: Right upper quadrant pain,R10.11
79922009: Epigastric pain,R10.13
83132003: Upper abdominal pain,R10.13
102570003: Inguinal pain,R10.2
162053006: Suprapubic pain,R10.2
314716005: Acute pelvic pain,R10.2
54586004: Lower abdominal pain,R10.30
162049009: Left flank pain,R10.31
102614006: Generalized abdominal pain,R10.84
162042000: Abdominal wall pain,R10.84
235841007: Chronic nonspecific abdominal pain,R10.84
43364001: Abdominal discomfort,R10.84
439469002: Recurrent abdominal pain,R10.84
88522004: Umbilical pain,R10.84
247353003: Site of abdominal pain,R10.9
271681002: Stomach ache,R10.9
274287009: O/E - abdominal pain,R10.9
111985007: Chronic abdominal pain,R10.9
314212008: Abdominal pain - cause unknown,R10.9
16932000: Nausea and vomiting,R11
249497008: Vomiting symptom,R11
3459: Nausea,R11
422400008: Vomiting,R11
422587007: Nausea,R11
63722008: Chronic vomiting,R11
272044004: C/O - vomiting,R11
3460: Emesis (vomiting),R11
23971007: Acute vomiting,R11.0
65958008: Hiccoughs,R11.0
84480002: Retching,R11.0
8765009: Hematemesis,R11.0
196746003: Persistent vomiting,R11.0
236083006: Intermittent vomiting,R11.1
53827007: Excessive salivation,R11.1
8579004: Projectile vomiting,R11.1
3094009: Vomiting in infants AND/OR children,R11.10
18773000: Cyclical vomiting syndrome,R11.12
40835002: Coffee ground vomiting,R11.13
281102003: Blood in vomit - symptom,R11.2
162031009: Indigestion,R12
16331000: Heartburn,R12
4457: Gastric reflux,R12
162025006: Difficulty swallowing fluid,R13.0
30233002: Swallowing painful,R13.0
40739000: Dysphagia,R13.0
4428: Dysphagia,R13.0
62718007: Dribbling from mouth,R13.0
88889000: Globus sensation,R13.0
249488009: Gagging,R13.0
288998001: Difficulty drinking from a bottle,R13.0
288939007: Difficulty swallowing,R13.0
110292000: Difficulty eating,R13.10
399122003: Swallowing problem,R13.10
429975007: Oral phase dysphagia,R13.10
47717004: Abnormal deglutition,R13.10
71457002: Oropharyngeal dysphagia,R13.10
249485007: Food sticks on swallowing,R13.10
225589000: Chokes when swallowing,R13.11
21101000119105: Pharyngeal dysphagia,R13.13
722875003: Functional dysphagia,R13.14
116289008: Abdominal bloating,R14
392611002: Finding of gastrointestinal tract gas,R14
162068007: Abdominal distension symptom,R14.0
271669001: Dry tongue,R14.0
41931001: Abdominal distension,R14.0
4425: Abdominal distention,R14.0
45979003: Abdominal wind pain,R14.0
267054006: Soiling - encopresis,R15.0
48340000: Incontinence,R15.9
16294009: Splenomegaly,R16.0
3423: Hepatomegaly,R16.0
389026000: Ascites,R18
4460: Ascites,R18.8
267045008: Gastrointestinal symptom,R19
13970001000004100: Right upper quadrant abdominal mass,R19.04
271863002: Stool color abnormal,R19.5
405729008: Hematochezia,R19.5
60728008: Swollen abdomen,R19.5
249625002: Feces contents abnormal,R19.6
267060006: Diarrhea symptom,R19.7
271864008: Mucus in stool,R19.7
398032003: Loose stool,R19.7
77246000: Sweet fruity body odor,R19.7
249521002: Frequency of bowel action,R19.7
79879001: Breath smells unpleasant,R19.8
15336001: Cold extremities,R20.0
309086004: Paresthesia of hand,R20.1
309521004: Numbness of hand,R20.2
310501001: Numbness of limbs,R20.2
698941003: On examination - allodynia,R20.2
91019004: Paresthesia,R20.2
95673003: Paresthesia of upper limb,R20.2
309539008: Numbness of toe,R20.8
162246009: Sensory symptoms,R20.9
247325003: Altered sensation of skin,R20.9
62507009: Pins and needles,R20.9
16386004: Dry skin,R21
278528006: Facial swelling,R22.2
300954003: Pain in calf,R22.2
274743004: Swelling of inguinal region,R22.9
301777002: Neck swelling,R22.9
119419001: Cyanosis of skin,R23.0
3397: Cyanosis,R23.0
3415004: Cyanosis,R23.0
406128001: Mottling of skin,R23.0
95837007: Central cyanosis,R23.0
238810007: Flushing,R23.0
248416007: Blue extremities,R23.1
424131007: Easy bruising,R23.3
86708008: Seborrhea,R23.8
398979000: Pale complexion,R23.8
249966004: Spasmodic movement,R25.1
386783003: Tic,R25.1
42800007: Fine tremor,R25.1
52669001: Automatism,R25.1
78261002: Coarse tremor,R25.1
39055007: Ankle clonus,R25.2
394680009: Upper limb spasticity,R25.2
41581000: Muscular hypertonicity,R25.2
45352006: Spasm,R25.2
55300003: Cramp,R25.2
4315: Headache,R25.9
25136009: Ataxic gait,R26.0
78691002: Staggering gait,R26.0
8117002: Gait normal,R26.0
22631008: Unsteady when walking,R26.2
82971005: Impaired mobility,R26.2
8510008: Reduced mobility,R26.82
22325002: Abnormal gait,R26.89
394616008: Unsteady gait,R26.89
432559006: Abnormal gait due to muscle weakness,R26.89
69161000119103: Functional gait abnormality,R26.89
20262006: Ataxia,R27.0
249985001: Poor balance,R27.0
267084003: Unsteadiness present,R27.0
271713000: General unsteadiness,R27.0
281016006: Incoordination,R27.0
307653008: Clumsiness - motor delay,R27.0
16973004: Limping,R27.8
86854008: Hyperreflexia,R29.0
398151007: Decreased muscle tone,R29.3
398152000: Poor muscle tone,R29.3
56731001: Increased muscle tone,R29.3
8732: Hypotonia,R29.3
366725004: Muscle tone - finding,R29.4
704200007: Acquired hypotonia,R29.5
279992002: Recurrent falls,R29.6
404911003: Unexplained recurrent falls,R29.6
103019006: Bulging fontanelle,R29.810
26544005: Muscle weakness,R29.818
60651000119103: Dependence on continuous supplemental oxygen,R29.89
249931001: Weakness of neck,R29.89
15633401000119107: Weakness of left arm,R29.891
49650001: Dysuria,R30.0
53057004: Hand pain,R30.8
4538: Hematuria ( blood in urine),R31
281856007: Recurrent frank hematuria,R31.1
197940006: Microscopic hematuria,R31.9
197941005: Frank hematuria,R31.9
281857003: Persistent microscopic hematuria,R31.9
371020003: Renal hematuria,R31.9
34436003: Blood in urine,R31.9
236657002: Dysfunctional voiding,R32
42112009: Urinary incontinence of non-organic origin,R32
450845009: Primary nocturnal enuresis,R32
75088002: Urgent desire to urinate,R32
129847007: Functional urinary incontinence,R32
130951007: Bladder retention of urine,R33.8
267064002: Retention of urine,R33.9
236648008: Acute retention of urine,R33.9
83128009: Oliguria,R34
28442001: Polyuria,R35
300471006: Finding of frequency of urination,R35.0
102834005: Normal micturition,R35.0
162116003: Increased frequency of urination,R35.0
718403007: Decreased urine output,R35.8
162128006: Poor stream of urine,R39.14
252030006: Dysfunctional voiding of urine,R39.14
102835006: Difficulty passing urine,R39.3
102866000: Abnormal urine,R39.9
271782001: Drowsy,R40.0
419045004: Loss of consciousness,R40.0
422768004: Unresponsive,R40.20
281793005: Intermittent confusion,R41.0
48167000: Amnesia,R41.1
386806002: Impaired cognition,R41.82
419284004: Altered mental status,R41.82
8721: Altered mental status,R41.82
307085007: Difficulty processing information,R41.84
433082007: Transient altered mental status,R41.842
103017008: Postural dizziness,R42
271789005: Dizziness and giddiness,R42
315018008: Dizzy spells,R42
404640003: Dizziness,R42
429530004: Dizziness of unknown cause,R42
60862001: Tinnitus,R42
386705008: Lightheadedness,R42
64269007: Visual hallucinations,R44.3
304534000: Crying,R45.4
55929007: Feeling irritable,R45.4
6471006: Suicidal thoughts,R45.851
20301004: Dysphasia,R47.01
229665008: Expressive dysphasia,R47.01
286832009: Speech and language finding,R47.01
62305002: Disorder of language,R47.01
74227009: Apraxic aphonia,R47.1
8011004: Dysarthria,R47.1
286253007: Ability to make speech sounds,R47.1
47004009: Difficulty speaking,R47.1
106132005: Speech finding,R47.81
289195008: Slurred speech,R47.81
267095009: Speech problem,R47.89
29164008: Disturbance in speech,R47.89
23168003: Speech dysfunction,R47.9
"106169008: Aphasia, agnosia, dyslexia AND/OR apraxia",R48.0
229697008: Oral-verbal dyspraxia,R48.8
229645001: Hypernasal voice,R49.0
50219008: Hoarse,R49.0
274657005: Change in voice,R49.0
445424004: Weakness of vocal cord,R49.1
70056008: Articulatory defect,R49.1
38160000: Abnormal voice,R49.9
304213008: Low grade pyrexia,R50.81
164304001: O/E - hyperpyrexia - greater than 40.5 degrees Celsius,R50.82
4061: Fever,R50.9
7520000: Pyrexia of unknown origin,R50.9
162299003: Generalized headache,R51
571000119103: Daily headache,R51
712831003: Frequent headache,R51
735938006: Acute headache,R51
162298006: No headache,R51
267096005: Frontal headache,R51.0
15634511000119108: Pain in bilateral legs,R52
22253000: Pain,R52
274663001: Acute pain,R52
48429009: Somatic pain,R52
78514002: Thigh pain,R52
8736: Pain,R52
2134003: Diffuse pain,R52.9
3421: Fatigue,R53
13791008: Asthenia,R53.0
80449002: Muscle fatigue,R53.0
271795006: Malaise and fatigue,R53.81
214264003: Lethargy,R53.83
248274002: Lack of energy,R53.83
248277009: Lack of stamina,R53.83
272060000: Fatigue - symptom,R53.83
77427003: Activity intolerance,R53.83
84229001: Fatigue,R53.83
18618006: Aura,R54
162713002: O/E - collapse - syncope,R55
271594007: Syncope,R55
309585006: Syncope and collapse,R55
32834005: Brief loss of consciousness,R55
3400: Syncope,R55
